LSOA name,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences,Latitude,Longitude,Cluster
Babergh 005A,0,1,1,0,0,0,0,0,0,0,0,0,5,52.02837271428571,1.0813028571428571,2
Babergh 005B,0,0,0,0,0,1,0,1,0,0,0,0,7,52.06222155555556,1.1077168888888889,2
Babergh 005C,0,0,1,0,0,2,1,4,0,0,0,0,6,52.03693592857143,1.105351,2
Babergh 005D,0,0,0,0,0,0,0,0,0,0,0,0,2,52.034153,1.1184370000000001,2
Babergh 005E,0,0,0,0,0,1,0,1,0,1,0,0,5,52.03962475,1.106522125,2
Babergh 005F,0,0,0,0,0,0,0,0,0,0,0,0,6,52.03939383333333,1.10941,2
Babergh 010A,0,0,0,0,1,0,0,0,0,0,0,0,2,51.964369,1.064551,2
Babergh 010B,0,0,0,0,0,0,0,0,0,0,0,0,3,51.96643533333333,1.0729870000000001,2
Babergh 010C,0,1,1,0,0,1,0,0,0,0,0,0,2,51.9739136,1.01626,2
Babergh 010D,0,0,1,0,5,0,0,0,0,0,0,0,2,51.979076375000005,1.028833375,2
Babergh 010E,0,0,0,0,0,0,0,0,0,1,0,3,3,52.00039642857143,1.0493005714285715,2
Babergh 010F,0,0,4,0,2,0,0,2,0,0,0,0,1,52.00246811111111,1.049208222222222,2
Babergh 010G,0,1,0,0,0,0,0,2,0,0,0,0,1,51.994073,1.021154,2
Babergh 011A,0,0,0,0,0,0,0,0,0,0,0,0,1,51.969163,1.118274,2
Babergh 011B,0,0,0,0,1,0,0,0,0,0,0,1,7,51.98574466666666,1.2166602222222223,2
Babergh 011C,0,0,0,0,0,0,0,0,0,0,0,0,1,51.970059,1.252611,2
Babergh 011D,0,0,0,0,0,0,0,1,0,0,0,0,2,51.98466,1.1558163333333333,2
East Suffolk 024A,0,0,0,0,0,0,0,0,0,0,0,0,1,52.064886,1.249301,2
East Suffolk 024C,0,0,0,0,0,0,0,0,0,0,0,0,1,52.063653,1.225762,2
East Suffolk 024D,0,0,0,1,0,0,0,1,0,0,0,0,0,52.058147000000005,1.2304205000000001,2
East Suffolk 025A,0,0,0,0,0,0,0,0,0,0,0,0,1,52.059599,1.25347,2
East Suffolk 025B,0,0,0,0,0,0,0,1,0,0,0,0,2,52.06811,1.2757473333333333,2
East Suffolk 025C,0,0,0,0,1,0,0,2,0,0,0,0,11,52.064298071428574,1.271742142857143,2
East Suffolk 025H,0,0,0,1,0,0,0,0,0,0,0,0,0,52.066284,1.256977,2
East Suffolk 026A,0,0,0,0,0,0,0,0,0,2,0,0,0,52.0361915,1.2069320000000001,2
East Suffolk 026E,0,0,0,0,0,0,0,1,0,0,0,0,0,52.048134,1.219348,2
Ipswich 001A,1,6,29,11,12,31,5,23,3,14,2,12,194,52.08131758892128,1.128494224489796,1
Ipswich 001B,0,6,5,0,2,6,1,11,1,12,0,7,28,52.08129368354431,1.1451905696202531,2
Ipswich 001C,1,6,7,3,0,4,0,2,0,2,0,6,36,52.086666179104476,1.1465284626865673,2
Ipswich 001D,5,19,56,9,12,31,3,60,1,239,2,27,280,52.08466839516129,1.1247159758064516,1
Ipswich 001E,2,9,45,14,27,22,8,28,1,24,1,4,264,52.083092447661464,1.1367568017817373,1
Ipswich 002A,1,5,6,2,3,8,1,4,0,56,0,31,39,52.07431125,1.1486719230769231,1
Ipswich 002B,1,7,12,8,1,13,0,4,1,0,0,23,85,52.069788187096776,1.139342735483871,1
Ipswich 002C,1,2,21,2,4,16,1,15,1,37,2,17,72,52.07878495287958,1.1378718586387435,1
Ipswich 002D,7,8,26,2,4,22,4,25,1,92,3,24,90,52.07769844480519,1.1280613051948052,1
Ipswich 002E,1,8,26,3,5,10,2,6,1,1,0,28,66,52.07400088535032,1.1358503375796178,1
Ipswich 003A,3,12,53,14,9,73,5,28,1,100,2,34,179,52.066373407407404,1.1224044230019492,1
Ipswich 003B,4,12,26,13,6,18,5,22,3,0,1,33,191,52.07198182035928,1.1149881646706588,1
Ipswich 003C,9,13,44,11,13,26,5,45,3,25,3,21,263,52.073494193347194,1.123211898128898,1
Ipswich 003D,2,6,30,10,13,16,9,24,0,13,0,21,150,52.06905503741497,1.1199232687074832,1
Ipswich 003E,7,14,55,10,11,46,9,39,3,92,3,19,207,52.08073198834951,1.1168043669902914,1
Ipswich 004A,0,1,5,1,5,4,0,5,1,0,0,8,28,52.0672229137931,1.177161844827586,2
Ipswich 004B,7,9,30,6,9,22,6,21,0,15,1,15,213,52.069317005649715,1.1918679858757062,1
Ipswich 004C,2,8,17,6,4,16,0,25,1,0,0,16,72,52.06495489221557,1.1856039580838325,1
Ipswich 004D,3,10,11,3,0,9,1,7,3,35,0,18,52,52.06249169078947,1.1752969342105262,1
Ipswich 004E,2,19,14,4,11,18,2,22,0,8,1,12,159,52.07106627573529,1.1829167610294118,1
Ipswich 005A,6,9,17,7,7,14,3,11,1,0,2,35,92,52.06255318137255,1.1655927745098038,1
Ipswich 005B,1,16,16,2,1,10,0,9,0,0,0,22,38,52.06877304347827,1.1569306956521739,1
Ipswich 005C,2,10,22,0,3,16,2,14,2,0,2,27,63,52.06578034355829,1.1452380368098158,1
Ipswich 005D,5,27,51,19,5,28,7,54,9,5,11,16,224,52.05982747288503,1.161089464208243,1
Ipswich 005E,0,14,5,1,0,4,1,5,0,0,0,16,28,52.07068798648649,1.1687377432432433,2
Ipswich 006A,16,30,113,36,16,64,7,67,8,50,8,56,373,52.06512150236967,1.136321248815166,0
Ipswich 006B,14,16,81,29,11,64,14,63,11,152,8,47,334,52.0613464964455,1.1377552097156398,0
Ipswich 006C,9,27,100,47,24,78,19,93,15,11,11,44,485,52.06171771028038,1.1427857248182762,0
Ipswich 006D,13,22,77,27,10,79,11,104,15,60,9,50,457,52.06063059635974,1.1507207676659528,0
Ipswich 006E,5,11,48,7,9,18,4,41,4,0,2,31,213,52.067293773536896,1.130734027989822,1
Ipswich 007A,6,19,15,2,7,14,1,20,0,61,0,14,84,52.057414633744855,1.1814006296296296,1
Ipswich 007C,4,18,42,15,12,24,5,23,2,0,2,36,207,52.05898713589743,1.1707499948717948,1
Ipswich 007D,9,6,18,5,8,18,1,30,1,1,1,26,111,52.05449431914894,1.1772356978723406,1
